run,gen_len,OGF,stall,tail_len,TP@512,TP@1024,latency_sec,success_ogf1,success_ogf2,success_ogf4,reward,validity,eos_pen,ppl
525,4777,1.166259765625,0,0,0,0,181.12305760383606,1,0,0,-0.37873343941956944,1.0,5.0,1.2769520619635755
526,122,0.02978515625,0,0,0,0,4.591163396835327,0,0,0,-0.7648653197947546,1.0,5.0,29.918032786885245
527,4981,1.216064453125,0,0,0,0,194.03362441062927,1,0,0,-0.36104285707487227,1.0,5.0,1.0
528,1010,0.24658203125,0,0,0,0,37.95964312553406,0,0,0,-0.6711409806861597,1.0,5.0,11.584158415841586
529,4809,1.174072265625,0,0,0,0,184.4064531326294,1,0,0,-0.3704910992623723,1.0,5.0,1.0
530,4671,1.140380859375,0,0,0,0,174.27662253379822,1,0,0,-0.37807166566862227,1.0,5.0,1.0
531,4904,1.197265625,0,0,0,0,184.686044216156,1,0,0,-0.43077788640284986,1.0,5.0,6.4131321370309955
532,4929,1.203369140625,0,0,0,0,191.017103433609,1,0,0,-0.3638993023873723,1.0,5.0,1.0
533,4949,1.208251953125,0,0,0,0,189.6095163822174,1,0,0,-0.3784996709416023,1.0,5.0,1.7377247928874522
534,5003,1.221435546875,0,0,0,0,191.22953081130981,1,0,0,-0.35983436098112226,1.0,5.0,1.0
535,4705,1.148681640625,0,0,0,0,180.1035966873169,1,0,0,-0.37620398988737225,1.0,5.0,1.0
536,4818,1.17626953125,0,0,0,0,185.14741110801697,1,0,0,-0.3842639319132178,1.0,5.0,1.6604400166044002
537,5829,1.423095703125,0,0,0,0,229.92458295822144,1,0,0,-0.31885533658811926,1.0,5.0,1.1837364899639733
538,5166,1.26123046875,0,0,0,0,200.50637102127075,1,0,0,-0.42968534850373163,1.0,5.0,8.672086720867208
539,4912,1.19921875,0,0,0,0,189.47733640670776,1,0,0,-0.3648331402779973,1.0,5.0,1.0
540,4871,1.189208984375,0,0,0,0,187.56924319267273,1,0,0,-0.36708533754362227,1.0,5.0,1.0
541,159,0.038818359375,0,0,0,0,6.013328790664673,0,0,0,-0.7736965776621018,1.0,5.0,37.42138364779874
542,4788,1.1689453125,0,0,0,0,184.85103964805603,1,0,0,-0.37164466371549726,1.0,5.0,1.0
543,784,0.19140625,0,0,0,0,29.53628945350647,0,0,0,-0.7189724481910651,1.0,5.0,24.55357142857143
544,281,0.068603515625,0,0,0,0,10.88465666770935,0,0,0,-0.7391082430006514,1.0,5.0,20.99644128113879
545,5161,1.260009765625,0,0,0,0,201.34497785568237,1,0,0,-0.35115516176237227,1.0,5.0,1.0
546,16384,4.0,1,0,0,0,930.4618940353394,1,1,1,0.8585811851632468,1.0,0.0,15.91796875
547,5156,1.2587890625,0,0,0,0,195.52005743980408,1,0,0,-0.35142981996549727,1.0,5.0,1.0
548,5059,1.235107421875,0,0,0,0,190.51621294021606,1,0,0,-0.3567581891061223,1.0,5.0,1.0
549,24,0.005859375,0,0,0,0,0.8548009395599365,0,0,0,-0.7931875491270048,1.0,5.0,47.91666666666667
550,7421,1.811767578125,0,0,0,0,305.0483410358429,1,0,0,-0.28524777056625217,1.0,5.0,5.410322059021695
